index,Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,index,Artist,artist_start_year,artist_end_year,artist_career_length,years_since_debut
45,Gamma Ray,Beck,2005,176920,4,0.603,0.909,11,-4.213,0,0.0385,0.109,0.249,0.329,0.7,168.116,62,Alt. Rock,206,Beck,1994,2005,11,11
46,No Rain,Blind Melon,1992,217106,4,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,73,Alt. Rock,290,Blind Melon,1992,1995,3,0
47,Change,Blind Melon,1995,221866,4,0.433,0.46,2,-10.441,1,0.0343,0.606,4.36e-05,0.175,0.536,77.525,60,Alt. Rock,290,Blind Melon,1992,1995,3,3
48,Adam's Song,blink-182,1999,249626,4,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.383,136.02,73,Alt. Rock,3028,blink-182,1997,2004,7,2
49,All The Small Things,blink-182,1999,167066,4,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.685,148.708,83,Alt. Rock,3028,blink-182,1997,2004,7,2
50,What's My Age Again?,blink-182,1999,148360,4,0.391,0.951,6,-7.419,1,0.0688,0.012,0.000446,0.0878,0.468,157.663,80,Alt. Rock,3028,blink-182,1997,2004,7,2
51,Man Overboard,blink-182,2000,166733,4,0.218,0.921,7,-4.414,1,0.0602,0.00133,7.66e-06,0.0777,0.612,196.291,60,Alt. Rock,3028,blink-182,1997,2004,7,3
52,Don't Leave Me,blink-182,2001,143573,4,0.338,0.94,9,-7.094,1,0.0906,0.00862,4.5e-06,0.304,0.245,145.538,55,Alt. Rock,3028,blink-182,1997,2004,7,4
53,Stay Together For The Kids,blink-182,2001,239333,4,0.52,0.78,2,-4.944,1,0.0356,0.00165,2.16e-05,0.156,0.166,145.12,65,Alt. Rock,3028,blink-182,1997,2004,7,4
54,The Rock Show,blink-182,2001,171600,4,0.409,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.144,69,Alt. Rock,3028,blink-182,1997,2004,7,4
55,Feeling This,blink-182,2003,172645,4,0.411,0.962,4,-5.952,1,0.0917,0.103,0.0,0.529,0.622,173.143,70,Alt. Rock,3028,blink-182,1997,2004,7,6
56,First Date,blink-182,2003,171533,4,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594,74,Alt. Rock,3028,blink-182,1997,2004,7,6
57,I Miss You,blink-182,2004,227240,4,0.655,0.781,11,-6.547,1,0.034,0.00103,5.33e-06,0.0867,0.584,110.024,76,Alt. Rock,3028,blink-182,1997,2004,7,7
58,For Tomorrow - 2012 Remaster,Blur,1993,261240,4,0.631,0.84,2,-6.025,1,0.0285,0.0143,0.0,0.0712,0.653,95.849,43,Alt. Rock,302,Blur,1993,1999,6,0
59,End of a Century - 2012 Remaster,Blur,1994,165840,4,0.446,0.686,7,-7.348,1,0.0303,0.211,0.0,0.205,0.493,80.572,46,Alt. Rock,302,Blur,1993,1999,6,1
60,Girls & Boys,Blur,1994,259385,4,0.693,0.875,7,-8.354,0,0.0315,0.00986,0.0,0.0601,0.899,120.048,68,Alt. Rock,302,Blur,1993,1999,6,1
61,Parklife,Blur,1994,187040,4,0.632,0.877,4,-6.905,1,0.0606,0.154,0.0,0.328,0.749,138.391,56,Alt. Rock,302,Blur,1993,1999,6,1
62,This Is a Low - 2012 Remaster,Blur,1994,316906,4,0.271,0.5,9,-8.661,1,0.0325,0.211,0.00156,0.111,0.32,170.06,39,Alt. Rock,302,Blur,1993,1999,6,1
63,Country House,Blur,1995,237733,4,0.341,0.895,9,-6.66,1,0.076,0.147,0.0,0.0741,0.677,174.987,51,Alt. Rock,302,Blur,1993,1999,6,2
64,Beetlebum,Blur,1997,305146,4,0.487,0.648,0,-5.14,1,0.0278,0.0351,0.000201,0.266,0.704,89.573,46,Alt. Rock,302,Blur,1993,1999,6,4
65,Song 2,Blur,1997,121880,4,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.701,67,Alt. Rock,302,Blur,1993,1999,6,4
66,Coffee & TV,Blur,1999,358773,4,0.743,0.742,2,-10.117,1,0.0367,0.051,0.234,0.0987,0.706,121.604,62,Alt. Rock,302,Blur,1993,1999,6,6
67,Tender,Blur,1999,461946,4,0.587,0.566,9,-9.932,1,0.0276,0.469,0.0,0.0644,0.528,76.055,58,Alt. Rock,302,Blur,1993,1999,6,6
68,Frank Sinatra,CAKE,1996,241026,4,0.675,0.511,7,-9.208,1,0.0415,0.175,0.0261,0.183,0.569,114.201,51,Alt. Rock,416,CAKE,1996,2001,5,0
69,I Will Survive,CAKE,1996,310333,4,0.501,0.689,4,-7.952,0,0.0318,0.306,0.000169,0.133,0.873,95.758,61,Alt. Rock,416,CAKE,1996,2001,5,0
70,Jolene,CAKE,1996,319200,4,0.498,0.576,8,-9.853,0,0.0411,0.305,1.73e-05,0.544,0.847,94.232,40,Alt. Rock,416,CAKE,1996,2001,5,0
71,Short Skirt / Long Jacket,CAKE,1996,204128,4,0.771,0.809,2,-10.029,1,0.0461,0.003,0.0223,0.0252,0.886,120.038,65,Alt. Rock,416,CAKE,1996,2001,5,0
72,Stickshifts and Safetybelts,CAKE,1996,128653,4,0.659,0.682,1,-9.668,0,0.137,0.416,0.0,0.314,0.913,141.556,44,Alt. Rock,416,CAKE,1996,2001,5,0
73,The Distance,CAKE,1996,179600,4,0.457,0.752,11,-8.121,0,0.09,0.00959,0.00136,0.0573,0.897,183.578,68,Alt. Rock,416,CAKE,1996,2001,5,0
74,Never There,CAKE,1998,164266,4,0.761,0.735,9,-8.171,0,0.043,0.0426,0.0838,0.0917,0.592,125.815,61,Alt. Rock,416,CAKE,1996,2001,5,2
75,Comfort Eagle,CAKE,2001,220202,4,0.735,0.692,11,-9.671,1,0.0582,0.0932,0.0,0.217,0.894,120.99,53,Alt. Rock,416,CAKE,1996,2001,5,5
76,Sheep Go To Heaven,CAKE,2001,228093,4,0.639,0.679,4,-8.867,0,0.0401,0.0182,1.08e-05,0.117,0.784,102.592,48,Alt. Rock,416,CAKE,1996,2001,5,5
77,Wheels,CAKE,2001,198200,4,0.696,0.476,4,-7.955,0,0.0373,0.128,0.0,0.121,0.963,161.311,45,Alt. Rock,416,CAKE,1996,2001,5,5
78,Mr. Jones,Counting Crows,1993,272293,4,0.578,0.817,0,-6.541,1,0.0363,0.183,2.85e-06,0.285,0.734,141.621,78,Alt. Rock,560,Counting Crows,1993,2002,9,0
79,Round Here,Counting Crows,1993,331400,4,0.313,0.477,7,-9.37,1,0.0342,0.143,7.31e-05,0.0814,0.186,94.192,60,Alt. Rock,560,Counting Crows,1993,2002,9,0
80,A Long December,Counting Crows,1996,295066,4,0.388,0.579,5,-6.983,1,0.0286,0.472,0.00055,0.219,0.381,70.662,58,Alt. Rock,560,Counting Crows,1993,2002,9,3
81,Big Yellow Taxi,Counting Crows,2002,225573,4,0.678,0.866,1,-4.341,1,0.048,0.00295,0.0,0.16,0.842,88.041,64,Alt. Rock,560,Counting Crows,1993,2002,9,9
82,Superman's Song,Crash Test Dummies,1991,271600,4,0.406,0.124,10,-19.825,1,0.0342,0.613,1.08e-06,0.108,0.316,168.4,42,Alt. Rock,562,Crash Test Dummies,1991,1996,5,0
83,Androgynous,Crash Test Dummies,1992,156613,4,0.5,0.209,10,-16.07,1,0.0468,0.424,0.0,0.101,0.67,115.884,22,Alt. Rock,562,Crash Test Dummies,1991,1996,5,1
84,Keep A Lid On Things,Crash Test Dummies,1992,165600,4,0.568,0.726,9,-9.01,1,0.185,0.0614,0.000174,0.151,0.744,166.409,29,Alt. Rock,562,Crash Test Dummies,1991,1996,5,1
85,He Liked To Feel It,Crash Test Dummies,1993,235306,4,0.758,0.575,11,-7.354,0,0.0316,0.08,0.085,0.0864,0.698,112.992,20,Alt. Rock,562,Crash Test Dummies,1991,1996,5,2
86,In The Days Of The Caveman,Crash Test Dummies,1993,220493,4,0.655,0.85,11,-7.695,1,0.0317,0.079,0.000864,0.329,0.642,122.95,37,Alt. Rock,562,Crash Test Dummies,1991,1996,5,2
87,Mmm Mmm Mmm Mmm,Crash Test Dummies,1993,235173,4,0.58,0.575,3,-7.72,1,0.0231,0.25,1.83e-05,0.0813,0.37,92.934,64,Alt. Rock,562,Crash Test Dummies,1991,1996,5,2
88,Swimming In Your Ocean,Crash Test Dummies,1996,229066,4,0.613,0.795,0,-7.064,1,0.028,0.0986,0.0683,0.0809,0.643,93.873,37,Alt. Rock,562,Crash Test Dummies,1991,1996,5,5
89,The Ballad Of Peter Pumpkinhead (feat. Ellen Reid),Crash Test Dummies,1996,224373,4,0.498,0.934,2,-5.323,1,0.103,0.0314,3.17e-05,0.226,0.531,128.017,33,Alt. Rock,562,Crash Test Dummies,1991,1996,5,5
90,The Unforgiven Ones,Crash Test Dummies,1996,174026,4,0.457,0.482,9,-8.495,0,0.0287,0.931,0.015,0.117,0.327,114.172,25,Alt. Rock,562,Crash Test Dummies,1991,1996,5,5
91,Crash into Me,Dave Matthews Band,1996,316466,4,0.541,0.677,4,-10.764,1,0.0373,0.122,0.0191,0.0938,0.555,101.1,65,Alt. Rock,623,Dave Matthews Band,1996,2001,5,0
92,The Space Between,Dave Matthews Band,2001,242000,4,0.406,0.73,9,-6.278,1,0.0315,0.0471,0.0,0.229,0.207,170.032,56,Alt. Rock,623,Dave Matthews Band,1996,2001,5,5
93,California Uber Alles,Dead Kennedys,1980,207040,3,0.317,0.885,8,-4.768,1,0.144,0.176,0.000249,0.221,0.704,111.366,54,Alt. Rock,645,Dead Kennedys,1980,1985,5,0
94,Holiday in Cambodia,Dead Kennedys,1980,224866,4,0.133,0.927,7,-5.371,1,0.0741,0.00344,0.00044,0.0915,0.5,197.708,53,Alt. Rock,645,Dead Kennedys,1980,1985,5,0
95,Kill the Poor,Dead Kennedys,1980,187360,4,0.27,0.973,2,-3.219,1,0.0725,0.212,0.00204,0.346,0.443,105.292,40,Alt. Rock,645,Dead Kennedys,1980,1985,5,0
96,Police Truck,Dead Kennedys,1980,144973,4,0.207,0.967,4,-5.381,1,0.0982,0.0627,6.32e-05,0.504,0.598,202.423,53,Alt. Rock,645,Dead Kennedys,1980,1985,5,0
97,Nazi Punks Fuck Off,Dead Kennedys,1981,63390,3,0.397,0.923,10,-4.029,0,0.201,0.00132,0.0,0.261,0.676,112.666,49,Alt. Rock,645,Dead Kennedys,1980,1985,5,1
98,Too Drunk to Fuck,Dead Kennedys,1981,160653,4,0.441,0.966,4,-4.876,0,0.0503,0.000548,0.000829,0.415,0.586,103.327,48,Alt. Rock,645,Dead Kennedys,1980,1985,5,1
99,Bleed for Me,Dead Kennedys,1985,204916,4,0.289,0.962,9,-5.647,1,0.129,0.000194,7.77e-05,0.0946,0.118,102.594,30,Alt. Rock,645,Dead Kennedys,1980,1985,5,5
100,Chemical Warfare,Dead Kennedys,1985,178560,4,0.302,0.972,2,-3.041,1,0.179,0.674,0.0227,0.288,0.52,119.561,31,Alt. Rock,645,Dead Kennedys,1980,1985,5,5
101,MTV-Get Off the Air,Dead Kennedys,1985,217386,4,0.35,0.839,6,-6.186,1,0.216,0.0414,0.0,0.0868,0.655,145.385,34,Alt. Rock,645,Dead Kennedys,1980,1985,5,5
102,Be Quiet and Drive (Far Away),Deftones,1997,299866,4,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,76,Alt. Rock,657,Deftones,1997,2012,15,0
103,Engine No. 9,Deftones,1997,204880,4,0.358,0.981,2,-5.13,1,0.178,9.3e-05,0.000193,0.386,0.382,93.744,64,Alt. Rock,657,Deftones,1997,2012,15,0
104,My Own Summer (Shove It),Deftones,1997,214760,4,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,77,Alt. Rock,657,Deftones,1997,2012,15,0
105,Change (In the House of Flies),Deftones,2000,299533,4,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,78,Alt. Rock,657,Deftones,1997,2012,15,3
106,Digital Bath,Deftones,2000,255373,4,0.338,0.859,4,-4.938,0,0.0824,0.00122,0.211,0.0936,0.504,92.966,68,Alt. Rock,657,Deftones,1997,2012,15,3
107,Passenger,Deftones,2000,368666,4,0.345,0.797,0,-6.152,1,0.0551,0.00188,0.0668,0.145,0.223,117.987,66,Alt. Rock,657,Deftones,1997,2012,15,3
108,Back to School (Mini Maggit),Deftones,2003,237360,4,0.3,0.986,8,-3.022,1,0.107,0.000386,0.000136,0.0924,0.256,85.117,61,Alt. Rock,657,Deftones,1997,2012,15,6
109,Diamond Eyes,Deftones,2010,188266,3,0.331,0.845,8,-4.876,1,0.0551,0.000109,0.000212,0.0758,0.468,153.484,54,Alt. Rock,657,Deftones,1997,2012,15,13
110,Swerve City,Deftones,2012,164986,4,0.457,0.964,10,-2.963,1,0.0656,0.0001,0.00811,0.67,0.372,111.972,62,Alt. Rock,657,Deftones,1997,2012,15,15
111,Just Can't Get Enough,Depeche Mode,1981,220893,4,0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,76,Alt. Rock,674,Depeche Mode,1981,1993,12,0
112,Master and Servant,Depeche Mode,1984,252866,4,0.62,0.916,10,-8.306,0,0.0515,0.0151,0.00228,0.0633,0.799,127.778,48,Alt. Rock,674,Depeche Mode,1981,1993,12,3
113,People Are People,Depeche Mode,1984,231960,4,0.681,0.829,9,-7.305,0,0.0626,0.0795,2.09e-06,0.327,0.814,119.975,61,Alt. Rock,674,Depeche Mode,1981,1993,12,3
114,Never Let Me Down Again,Depeche Mode,1987,260493,4,0.577,0.933,2,-4.173,0,0.0312,0.281,0.0346,0.124,0.767,106.112,59,Alt. Rock,674,Depeche Mode,1981,1993,12,6
115,Strangelove,Depeche Mode,1987,225880,4,0.566,0.961,4,-3.46,0,0.0354,0.044,0.00106,0.352,0.866,118.988,63,Alt. Rock,674,Depeche Mode,1981,1993,12,6
116,Personal Jesus,Depeche Mode,1989,294773,4,0.682,0.742,11,-7.595,1,0.0492,0.135,0.209,0.0979,0.356,130.033,63,Alt. Rock,674,Depeche Mode,1981,1993,12,8
117,Enjoy the Silence,Depeche Mode,1990,255133,4,0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788,73,Alt. Rock,674,Depeche Mode,1981,1993,12,9
118,Policy of Truth,Depeche Mode,1990,293986,4,0.686,0.644,8,-7.286,1,0.0276,0.0121,0.203,0.126,0.372,114.203,65,Alt. Rock,674,Depeche Mode,1981,1993,12,9
119,I Feel You,Depeche Mode,1993,275413,3,0.44,0.905,2,-8.152,1,0.0888,0.02,0.0205,0.45,0.156,122.943,54,Alt. Rock,674,Depeche Mode,1981,1993,12,12
120,Walking in My Shoes,Depeche Mode,1993,326106,4,0.538,0.711,2,-9.748,0,0.0287,0.111,5.53e-06,0.237,0.502,93.08,57,Alt. Rock,674,Depeche Mode,1981,1993,12,12
121,Come Back Jonee,DEVO,1978,229266,4,0.355,0.874,7,-7.734,1,0.217,0.0315,0.161,0.253,0.77,176.79,27,Alt. Rock,591,DEVO,1978,1982,4,0
122,Jocko Homo,DEVO,1978,217493,4,0.567,0.556,7,-12.952,1,0.108,0.557,0.000441,0.118,0.808,123.899,33,Alt. Rock,591,DEVO,1978,1982,4,0
123,Smart Patrol / Mr. DNA,DEVO,1978,366333,4,0.495,0.496,7,-14.984,1,0.148,0.00436,0.0839,0.125,0.292,137.286,26,Alt. Rock,591,DEVO,1978,1982,4,0
124,Uncontrollable Urge,DEVO,1978,191266,3,0.571,0.858,2,-7.066,1,0.0326,0.0551,0.665,0.0943,0.716,92.523,52,Alt. Rock,591,DEVO,1978,1982,4,0
125,Freedom of Choice,DEVO,1980,208560,4,0.835,0.871,0,-13.353,1,0.0359,0.457,0.00852,0.0557,0.963,140.386,39,Alt. Rock,591,DEVO,1978,1982,4,2
126,Girl U Want,DEVO,1980,177306,4,0.73,0.398,4,-12.824,1,0.0642,0.343,1.82e-05,0.0491,0.799,172.651,35,Alt. Rock,591,DEVO,1978,1982,4,2
127,Whip It,DEVO,1980,161133,4,0.78,0.869,9,-7.255,1,0.0517,0.0744,0.004,0.0621,0.957,157.902,64,Alt. Rock,591,DEVO,1978,1982,4,2
128,Working in the Coal Mine,DEVO,1981,169171,4,0.794,0.672,5,-7.575,1,0.119,0.562,0.00265,0.0879,0.78,158.937,30,Alt. Rock,591,DEVO,1978,1982,4,3
129,Peek-A-Boo,DEVO,1982,180733,4,0.772,0.77,0,-11.888,1,0.0691,0.228,0.703,0.0923,0.714,145.024,32,Alt. Rock,591,DEVO,1978,1982,4,4
130,Through Being Cool,DEVO,1982,194693,4,0.643,0.448,11,-14.897,0,0.06,0.00825,0.00705,0.0913,0.847,156.528,29,Alt. Rock,591,DEVO,1978,1982,4,4
131,The Wagon,Dinosaur Jr.,1991,295360,4,0.251,0.976,7,-10.412,1,0.084,0.000291,0.000563,0.603,0.0892,172.294,43,Alt. Rock,703,Dinosaur Jr.,1991,1994,3,0
132,Feel the Pain,Dinosaur Jr.,1994,259600,4,0.34,0.804,0,-8.355,1,0.0516,0.00331,0.0191,0.0727,0.854,131.5,55,Alt. Rock,703,Dinosaur Jr.,1991,1994,3,3
133,Down with the Sickness,Disturbed,2000,279213,4,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,75,Alt. Rock,718,Disturbed,2000,2015,15,0
134,Stricken,Disturbed,2005,245226,4,0.402,0.969,8,-2.825,1,0.181,9.14e-05,0.0325,0.225,0.262,173.847,71,Alt. Rock,718,Disturbed,2000,2015,15,5
135,Decadence,Disturbed,2008,204786,4,0.528,0.968,1,-3.457,1,0.145,5.67e-05,0.0916,0.0668,0.305,91.934,65,Alt. Rock,718,Disturbed,2000,2015,15,8
136,Rescue,Echo & the Bunnymen,1980,271866,4,0.462,0.682,4,-10.902,0,0.0567,0.0931,1.82e-06,0.894,0.618,129.8,3,Alt. Rock,795,Echo & the Bunnymen,1980,1997,17,0
137,The Cutter,Echo & the Bunnymen,1983,232746,4,0.471,0.955,7,-5.219,1,0.121,0.00485,1.44e-06,0.162,0.35,139.266,49,Alt. Rock,795,Echo & the Bunnymen,1980,1997,17,3
138,Over the Wall,Echo & the Bunnymen,1984,366506,4,0.498,0.875,0,-9.88,1,0.0334,0.000264,0.0877,0.0775,0.63,133.089,19,Alt. Rock,795,Echo & the Bunnymen,1980,1997,17,4
